CVE ID,Title,Description,Technology Area,Vulnerability Type,Access Vector,CVSS Rating,CVSS Score,CVSS String,Affected Chipsets,Affected Software Versions,Bulletin Date,Source URL
CVE-2023-42709,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42710,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42711,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42712,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42713,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42714,Exposure of Sensitive Information to an Unauthorized Actor in firewall service,"In firewall service, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42715,Exposure of Sensitive Information to an Unauthorized Actor in telephony service,"In telephony service, there is a possible missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42716,Exposure of Sensitive Information to an Unauthorized Actor in telephony service,"In telephony service, there is a possible missing permission check. This could lead to remote information disclosure no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42717,Exposure of Sensitive Information to an Unauthorized Actor in telephony service,"In telephony service, there is a possible missing permission check. This could lead to remote information disclosure no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,6.2,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:H/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
CVE-2023-42718,Exposure of Sensitive Information to an Unauthorized Actor in dialer,"In dialer, there is a possible way to write permission usage records of an app due to a missing permission check. This could lead to local information disclosure with no additional execution privileges needed.",Android,CWE-200Exposureof Sensitive Information to anUnauthorizedActor,Local,Medium,4,CVSS:3.1/AV:L/AC:L/PR:N/UI:N/S:U/C:L/I:N/A:N,SC7731E/SC9832E/SC9863A/T310/T606/T612/T616/T610/T618/T760/T770/T820/S8000,Android11/Android12/Android13,2023-12-03,https://www.unisoc.com/en/support/product-security-bulletin/1731138304134414338
